1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,info,ID
5,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,no_info,139
2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8,no_info,140
3,7,4,5,3,7,6,11,1,8,9,8,7,6,0,8,no_info,141
5,7,7,5,6,4,7,3,4,10,10,10,6,6,2,6,no_info,142
6,9,6,7,7,4,9,2,3,9,8,8,7,11,2,7,no_info,143
5,5,6,7,4,7,7,12,2,7,9,8,9,6,0,8,no_info,144
5,9,8,7,7,12,6,2,4,9,2,6,8,6,2,8,no_info,145
4,8,7,6,9,9,5,2,2,8,4,8,10,6,2,6,no_info,146
5,9,8,7,10,7,6,4,2,7,4,8,13,6,3,7,no_info,147
5,9,6,7,4,8,6,9,6,4,4,4,5,7,3,7,no_info,148
6,7,8,5,4,10,7,3,6,10,1,4,6,10,2,8,no_info,149
1,0,1,1,0,7,7,10,0,6,6,8,4,8,0,8,no_info,150
6,10,7,8,4,8,7,13,2,6,9,8,9,6,0,8,no_info,151
4,7,6,5,5,6,6,2,4,9,8,9,7,5,2,7,no_info,152
3,1,4,2,1,8,7,11,1,7,9,8,7,6,0,8,no_info,153
7,8,9,7,10,5,8,5,4,6,5,8,13,7,6,9,no_info,154
6,10,9,7,7,4,11,2,2,8,9,9,7,12,1,8,no_info,155
3,2,4,4,3,7,8,5,5,7,7,6,5,10,2,5,no_info,156
5,7,7,5,3,4,8,5,1,7,9,8,8,10,0,8,no_info,157
3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,no_info,158
7,10,7,8,8,5,10,3,3,9,7,7,8,11,3,6,no_info,159
4,1,5,3,3,8,6,6,5,6,7,8,8,5,2,7,no_info,160
3,3,5,2,3,9,6,3,4,9,5,7,6,5,1,8,no_info,161
2,3,4,2,2,6,6,3,3,9,8,9,5,5,1,8,no_info,162
5,8,7,6,8,7,7,7,5,7,5,8,7,9,8,6,no_info,163
3,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8,no_info,164
5,9,8,7,6,5,7,3,4,10,9,9,8,6,3,8,no_info,165
6,9,8,6,8,7,7,6,5,6,7,9,8,6,2,8,no_info,166
4,3,4,4,3,7,7,12,1,7,9,8,8,6,0,8,no_info,167
5,6,6,6,6,7,7,4,3,7,5,7,6,9,5,5,no_info,168
6,8,9,6,9,10,6,3,3,9,4,7,9,8,3,6,no_info,169
4,7,5,5,5,7,7,6,2,7,8,8,5,8,3,9,no_info,170
3,7,4,5,3,7,7,12,1,6,6,8,5,8,0,8,no_info,171
6,10,9,8,6,11,8,3,5,10,1,4,7,11,2,8,no_info,172
1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8,no_info,173
4,11,7,8,8,10,11,2,2,5,8,7,9,12,2,8,no_info,174
6,8,9,7,10,6,8,5,3,6,5,8,13,9,5,8,no_info,175
5,11,5,9,6,7,7,13,1,6,6,8,5,9,0,7,no_info,176
6,7,9,6,9,5,9,5,3,6,4,8,13,6,5,8,no_info,177
7,10,10,8,14,9,7,5,2,7,7,8,13,10,4,6,no_info,178
4,3,4,5,3,7,7,12,1,7,9,8,8,6,0,8,no_info,179
3,3,4,4,2,7,7,14,2,5,6,8,6,8,0,8,no_info,180
7,10,9,8,8,8,6,6,5,6,8,8,9,6,2,7,no_info,181
5,5,6,7,3,7,7,15,2,4,6,8,6,8,0,8,no_info,182
5,5,6,4,4,8,6,6,5,6,7,7,10,6,4,6,no_info,183
2,0,2,1,1,7,8,3,0,7,8,8,6,9,0,8,no_info,184
5,10,5,7,3,7,7,15,2,4,6,8,6,8,0,8,no_info,185
4,8,7,6,5,7,10,2,3,7,9,8,8,11,1,8,no_info,186
5,6,5,4,4,4,10,2,3,9,9,7,7,11,2,6,no_info,187
6,5,7,4,3,3,10,3,3,10,10,8,7,10,1,7,no_info,188
4,9,6,6,4,8,9,9,6,8,5,5,3,7,3,7,no_info,189
6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,no_info,190
8,9,11,7,9,6,8,3,4,9,9,9,9,8,3,8,no_info,191
4,7,4,5,3,7,7,12,1,7,9,8,8,6,0,8,no_info,192
6,12,7,6,3,7,7,2,3,12,5,8,5,8,0,7,no_info,193
5,9,7,6,4,7,9,6,5,7,6,7,7,9,3,7,no_info,194
2,3,3,2,2,7,9,6,4,8,6,7,4,8,1,7,no_info,195
1,1,2,2,1,7,7,11,1,5,6,8,4,8,0,8,no_info,196
6,10,8,8,10,7,6,7,4,6,5,8,8,8,8,9,no_info,197
3,2,4,3,3,8,11,2,2,6,8,8,6,11,0,8,no_info,198
2,3,4,2,2,8,6,3,4,9,6,8,6,5,1,7,no_info,199
4,9,4,6,4,8,7,12,1,6,6,8,5,9,0,8,no_info,200
3,5,5,3,2,6,9,2,4,10,7,7,5,8,1,8,no_info,201
7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,no_info,202
4,6,6,4,4,10,6,7,5,6,7,4,8,5,2,5,no_info,203
4,8,6,6,4,5,9,2,3,9,8,8,5,8,1,7,no_info,204
5,9,6,7,4,8,7,13,2,6,9,8,8,6,0,8,no_info,205
4,7,6,5,4,8,8,5,6,7,6,4,7,9,4,6,no_info,206
3,3,5,2,2,7,9,3,4,10,6,6,5,9,1,7,no_info,207
4,8,6,6,5,8,8,5,5,6,6,5,6,10,2,5,no_info,208
2,4,4,2,2,8,10,2,2,6,9,8,6,11,0,8,no_info,209
3,7,4,5,3,8,8,6,4,7,6,6,5,9,1,6,no_info,210
4,5,5,4,3,7,8,6,5,7,6,6,6,9,2,5,no_info,211
4,5,7,4,3,6,10,3,5,10,8,7,5,8,1,7,no_info,212
4,10,6,7,4,11,8,5,2,7,9,8,8,10,0,8,no_info,213
2,1,2,2,1,7,7,12,1,5,6,8,5,8,0,8,no_info,214
3,2,4,3,3,8,6,5,3,7,7,9,9,5,1,8,no_info,215
4,7,4,5,3,8,8,12,1,6,6,7,5,8,0,9,no_info,216
4,9,6,6,3,4,8,5,1,7,9,8,8,10,0,8,no_info,217
4,4,6,6,3,8,8,4,1,7,8,8,8,9,0,8,no_info,218
3,4,5,6,3,6,8,4,1,7,8,8,8,10,0,8,no_info,219
3,4,5,3,2,6,9,3,4,11,8,8,5,7,1,8,no_info,220
4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,no_info,221
3,4,5,2,3,8,6,6,4,7,7,9,9,5,2,8,no_info,222
3,6,4,4,4,7,6,6,4,6,7,8,7,5,2,7,no_info,223
8,13,8,7,5,4,8,1,3,8,9,8,9,11,2,5,no_info,224
3,4,4,2,3,7,6,6,4,6,7,8,6,6,2,8,no_info,225
5,5,6,8,4,7,7,12,2,7,9,8,9,6,0,8,no_info,226
6,10,9,8,5,8,8,3,5,10,5,6,6,8,2,7,no_info,227
3,2,3,3,2,7,8,5,4,7,6,7,4,8,1,7,no_info,228
3,5,5,4,4,9,11,3,2,5,9,7,7,11,1,8,no_info,229
3,7,5,5,3,6,9,6,5,8,7,8,5,8,1,7,no_info,230
6,10,6,8,7,4,10,3,2,9,7,8,8,12,3,5,no_info,231
2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,no_info,232
1,3,3,2,1,5,9,3,3,10,8,8,4,8,0,7,no_info,233
5,8,8,6,3,7,7,5,2,7,8,8,9,9,0,8,no_info,234
6,11,9,8,7,5,9,5,1,7,9,8,8,11,0,7,no_info,235
3,7,6,5,4,5,10,2,3,8,9,9,7,11,1,8,no_info,236
5,9,8,7,5,10,7,3,5,10,2,5,6,9,1,7,no_info,237
8,10,8,5,4,1,9,3,3,11,12,9,8,10,1,6,no_info,238
10,15,12,9,6,10,2,3,2,10,3,9,8,1,1,8,no_info,239
4,2,6,3,4,8,6,6,5,6,7,8,8,7,3,6,no_info,240
3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,no_info,241
5,6,7,5,8,6,7,6,5,6,5,8,8,10,8,10,no_info,242
4,7,6,5,3,11,6,4,5,10,1,5,5,9,1,7,no_info,243
12,14,12,8,5,2,9,3,2,10,12,8,9,10,1,6,no_info,244
6,9,9,7,7,4,10,2,3,8,9,9,10,9,1,8,no_info,245
7,10,10,8,9,11,6,2,5,9,4,6,10,7,2,8,no_info,246
1,0,1,0,0,7,7,9,0,6,6,8,3,8,0,8,no_info,247
4,8,6,6,3,5,9,3,4,10,9,9,5,8,1,7,no_info,248
2,3,3,1,2,6,6,6,4,7,7,10,6,5,1,9,no_info,249
5,7,7,5,3,5,9,3,5,10,9,9,6,7,1,7,no_info,250
5,10,8,8,13,9,7,5,2,7,7,8,10,10,3,5,no_info,251
5,5,6,8,4,8,7,12,2,6,9,8,9,6,0,8,no_info,252
4,7,8,5,8,10,6,3,3,9,4,7,10,5,3,6,no_info,253
8,11,11,8,6,12,7,3,6,10,0,3,7,11,2,8,no_info,254
5,2,6,4,4,9,6,7,4,6,7,5,10,5,3,5,no_info,255
4,7,6,5,3,9,8,5,1,7,8,8,8,9,0,8,no_info,256
6,5,6,8,3,7,7,15,2,4,6,8,6,8,0,8,no_info,257
5,10,6,8,4,8,7,12,2,6,9,8,8,6,0,8,no_info,258
3,7,5,5,7,9,5,5,2,7,6,8,5,10,2,5,no_info,259
3,8,4,6,2,7,7,14,2,5,6,8,6,8,0,8,no_info,260
7,12,6,6,3,5,9,4,5,4,4,11,5,9,2,7,no_info,261
4,2,5,4,4,8,6,6,4,7,7,8,7,5,2,7,no_info,262
3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,8,no_info,263
4,10,4,7,3,7,7,14,2,4,6,8,6,8,0,8,no_info,264
4,2,5,4,4,8,6,6,4,7,7,8,7,5,2,8,no_info,265
4,9,5,6,6,7,6,6,2,7,7,8,6,8,4,8,no_info,266
4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,no_info,267
3,5,4,3,3,7,9,5,5,7,6,6,5,9,2,6,no_info,268
4,11,5,8,5,7,7,13,1,6,6,8,6,9,1,6,no_info,269
1,0,1,0,0,7,7,10,0,5,6,8,4,8,0,8,no_info,270
5,9,5,5,2,5,8,4,6,4,4,9,4,7,2,8,no_info,271
5,11,7,8,6,7,7,8,5,7,5,6,3,7,3,8,no_info,272
4,7,5,5,4,6,7,8,5,7,5,7,3,7,3,8,no_info,273
3,7,5,5,3,7,9,6,5,7,6,7,5,9,2,6,no_info,274
6,10,6,8,6,2,11,2,2,10,9,7,6,11,2,6,no_info,275
8,10,11,7,7,5,6,4,5,11,10,11,11,5,4,7,no_info,276
10,13,12,7,6,10,2,3,2,10,2,9,8,1,2,8,no_info,277
7,6,9,5,9,7,8,5,4,6,5,8,13,7,5,8,no_info,278
8,10,10,9,11,7,7,5,4,7,6,7,8,9,6,5,no_info,279
5,6,5,4,4,3,10,2,3,10,9,8,6,11,2,6,no_info,280
1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8,no_info,281
5,9,7,7,3,8,8,4,2,7,8,8,8,9,0,8,no_info,282
8,9,12,8,12,7,7,4,4,6,5,8,14,9,6,9,no_info,283
6,9,9,7,5,7,9,2,5,10,6,6,6,9,1,8,no_info,284
4,2,6,4,4,9,11,2,2,5,9,7,9,11,2,7,no_info,285
3,7,5,5,3,11,8,5,1,6,9,8,7,10,0,8,no_info,286
6,9,8,6,7,7,7,6,3,8,8,7,7,9,5,10,no_info,287
1,0,2,0,1,7,6,9,0,7,8,8,6,6,0,8,no_info,288
6,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8,no_info,289
1,0,1,0,0,7,8,3,0,7,8,8,3,9,0,8,no_info,290
5,7,6,5,7,8,8,6,5,7,6,8,7,9,7,6,no_info,291
10,13,9,7,4,4,9,4,7,3,3,11,5,8,2,7,no_info,292
8,10,9,8,6,1,10,3,3,11,11,9,7,10,1,7,no_info,293
10,13,12,8,5,4,9,3,4,13,10,9,6,8,0,7,no_info,294
3,2,5,3,3,9,6,6,4,6,7,6,7,5,2,6,no_info,295
4,8,6,6,3,6,8,4,1,7,8,8,8,9,0,8,no_info,296
4,8,7,6,9,9,8,5,2,7,7,7,12,10,4,6,no_info,297
6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,no_info,298
6,11,8,8,8,8,6,5,5,6,7,8,8,6,2,7,no_info,299
4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,no_info,300
10,15,10,8,5,4,9,2,2,8,10,8,9,12,1,6,no_info,301
6,9,9,7,5,9,8,2,5,10,2,4,7,10,2,7,no_info,302
5,6,7,4,6,7,6,5,5,8,6,11,10,5,2,9,no_info,303
4,8,6,6,6,5,11,2,2,7,8,8,7,11,1,8,no_info,304
4,4,6,3,3,8,11,3,2,6,9,8,8,12,1,7,no_info,305
5,9,5,7,3,7,7,15,2,4,6,8,6,8,0,8,no_info,306
5,5,7,8,4,9,8,4,2,7,8,8,9,9,0,8,no_info,307
4,8,7,6,4,7,10,2,3,7,9,8,8,11,1,8,no_info,308
3,6,4,4,4,9,6,6,4,6,7,5,7,5,2,6,no_info,309
11,15,11,8,6,9,11,6,4,4,6,9,10,12,2,7,no_info,310
3,4,5,3,3,8,6,6,4,7,7,8,7,5,2,7,no_info,311
5,10,7,8,4,3,9,4,4,10,11,10,5,7,1,8,no_info,312
4,7,6,5,3,4,8,5,1,7,9,8,8,10,0,8,no_info,313
7,10,10,7,4,6,8,3,5,10,8,8,6,7,1,7,no_info,314
2,3,4,1,2,5,7,4,3,10,10,10,4,7,1,6,no_info,315
6,9,9,8,8,7,9,4,4,7,4,7,9,7,6,6,no_info,316
4,8,5,6,5,7,5,10,0,7,8,8,8,5,2,10,no_info,317
5,8,7,6,3,5,8,5,1,7,8,8,8,9,0,8,no_info,318
6,9,9,6,10,10,3,3,2,9,4,8,11,5,3,7,no_info,319
6,9,5,4,2,9,11,5,4,4,6,10,5,11,3,7,no_info,320
4,5,7,3,4,7,6,3,4,9,7,8,7,5,2,8,no_info,321
6,10,9,7,5,6,10,5,4,8,7,9,7,7,2,8,no_info,322
5,10,6,8,4,7,7,12,2,8,9,8,8,6,0,8,no_info,323
7,7,7,5,6,4,11,2,2,10,9,7,7,11,2,6,no_info,324
6,8,9,6,5,4,10,3,4,10,10,8,5,8,1,8,no_info,325
2,1,3,2,2,7,8,5,4,7,6,6,4,8,1,6,no_info,326
5,11,8,8,8,9,7,5,5,6,7,5,10,8,3,5,no_info,327
3,5,5,3,3,5,11,2,2,8,9,9,6,10,0,8,no_info,328
5,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,no_info,329
3,7,5,5,3,4,10,3,3,10,10,9,5,8,1,7,no_info,330
6,7,8,5,4,9,7,3,5,10,2,5,5,9,1,7,no_info,331
4,11,4,8,5,8,7,12,1,6,6,7,5,8,0,9,no_info,332
8,14,8,8,6,4,8,1,3,8,9,8,10,11,2,6,no_info,333
6,11,9,8,10,7,10,6,4,7,7,8,6,8,6,8,no_info,334
11,14,12,8,7,8,9,3,4,6,9,6,11,8,2,6,no_info,335
6,8,9,6,10,6,8,4,3,7,4,8,14,3,4,7,no_info,336
1,0,2,0,0,7,6,9,0,7,8,8,5,6,0,8,no_info,337
10,12,8,6,4,9,11,6,5,3,5,10,6,9,2,7,no_info,338
4,9,6,7,6,8,6,6,4,7,7,8,8,5,2,7,no_info,339
4,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,no_info,340
6,8,8,6,4,10,8,3,6,10,2,4,5,9,1,7,no_info,341
2,1,3,2,2,5,10,3,2,8,9,9,5,11,0,8,no_info,342
5,10,6,5,3,10,2,1,3,9,3,9,5,4,1,9,no_info,343
6,5,6,8,4,7,7,13,2,7,9,8,9,6,0,8,no_info,344
2,1,3,2,2,7,6,6,4,6,7,8,6,5,1,8,no_info,345
3,5,3,3,2,7,8,5,5,7,6,6,5,10,2,5,no_info,346
3,2,5,4,3,7,11,2,2,7,9,8,7,11,0,8,no_info,347
6,11,9,8,9,9,7,5,5,6,7,5,11,8,4,6,no_info,348
4,2,5,3,4,9,6,6,4,6,7,6,9,6,3,6,no_info,349
2,1,2,1,1,7,7,12,1,5,6,8,5,8,0,8,no_info,350
5,11,6,8,6,8,8,13,1,6,6,8,6,8,1,10,no_info,351
4,11,5,8,3,7,7,15,2,4,6,8,6,8,0,8,no_info,352
4,7,6,5,4,6,11,2,3,7,9,9,8,11,1,8,no_info,353
2,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8,no_info,354
6,7,8,5,4,7,9,2,5,10,5,6,5,9,1,7,no_info,355
6,8,10,6,7,4,7,3,5,11,10,11,9,8,4,7,no_info,356
3,7,5,5,3,6,8,4,1,7,8,8,8,9,0,8,no_info,357
3,7,4,5,2,7,7,14,2,5,6,8,6,8,0,8,no_info,358
8,10,7,6,3,7,10,5,5,4,5,10,6,11,3,7,no_info,359
3,7,4,5,3,5,9,6,4,8,7,9,5,8,1,7,no_info,360
4,3,5,4,4,8,6,6,4,6,7,8,9,5,3,6,no_info,361
