0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,titok,info,ID
X,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,anomalia,detected_anomaly,27
B,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,anomalia,detected_anomaly,28
G,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,anomalia,detected_anomaly,29
O,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,anomalia,detected_anomaly,30
P,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,anomalia,detected_anomaly,31
G,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,anomalia,detected_anomaly,32
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,anomalia,detected_anomaly,33
X,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,anomalia,detected_anomaly,34
E,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,anomalia,detected_anomaly,35
X,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,anomalia,detected_anomaly,36
G,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,anomalia,detected_anomaly,37
V,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,anomalia,detected_anomaly,38
X,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,anomalia,detected_anomaly,39
N,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,ok,no_info,40
M,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,ok,no_info,41
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,ok,no_info,42
M,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,ok,no_info,43
W,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,ok,no_info,44
M,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,ok,no_info,45
W,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,ok,no_info,46
N,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,ok,no_info,47
M,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,ok,no_info,48
N,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,ok,no_info,49
M,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,ok,no_info,50
N,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,ok,no_info,51
W,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,ok,no_info,52
M,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,ok,no_info,53
N,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,ok,no_info,54
W,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,ok,no_info,55
N,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,ok,no_info,56
N,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,ok,no_info,57
W,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,ok,no_info,58
N,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,ok,no_info,59
M,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,ok,no_info,60
M,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,ok,no_info,61
W,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,ok,no_info,62
M,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,63
M,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,ok,no_info,64
N,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,ok,no_info,65
M,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,ok,no_info,66
N,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,ok,no_info,67
N,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,ok,no_info,68
W,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,ok,no_info,69
M,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,ok,no_info,70
M,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,ok,no_info,71
M,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,ok,no_info,72
M,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,ok,no_info,73
W,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,ok,no_info,74
N,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,ok,no_info,75
M,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,ok,no_info,76
W,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,ok,no_info,77
N,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,ok,no_info,78
M,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,ok,no_info,79
N,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,ok,no_info,80
M,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,ok,no_info,81
W,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,ok,no_info,82
M,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,ok,no_info,83
W,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,ok,no_info,84
N,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,ok,no_info,85
M,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,ok,no_info,86
N,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,ok,no_info,87
W,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,ok,no_info,88
W,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,ok,no_info,89
N,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4,ok,no_info,90
N,10,15,9,8,4,7,9,4,5,3,5,10,6,10,2,7,ok,no_info,91
N,7,10,9,8,7,7,7,8,6,7,5,6,4,8,4,8,ok,no_info,92
M,5,8,7,6,6,8,7,2,4,9,5,7,7,6,2,8,ok,no_info,93
M,5,6,6,8,4,7,7,12,2,7,9,8,9,6,0,8,ok,no_info,94
M,3,8,4,6,3,8,6,12,1,5,9,8,7,6,0,8,ok,no_info,95
M,3,7,4,5,4,7,5,10,0,7,8,8,6,5,0,8,ok,no_info,96
N,1,1,2,1,1,7,8,5,3,7,7,7,4,8,1,6,ok,no_info,97
W,4,6,7,4,4,9,11,2,3,5,9,8,7,11,1,8,ok,no_info,98
M,4,2,5,4,4,8,6,6,4,7,7,8,8,6,3,6,ok,no_info,99
N,3,4,5,3,2,7,9,2,5,10,6,6,5,9,1,7,ok,no_info,100
N,6,11,8,8,5,7,9,2,5,9,6,7,5,9,1,8,ok,no_info,101
W,2,3,4,2,2,7,10,2,2,6,9,8,5,11,0,7,ok,no_info,102
M,5,8,7,6,7,7,6,5,5,7,7,10,11,6,2,8,ok,no_info,103
M,9,11,12,8,8,4,6,4,5,10,11,11,11,6,4,8,ok,no_info,104
W,7,9,10,8,11,6,6,6,5,5,5,8,11,11,9,12,ok,no_info,105
N,6,8,9,6,5,10,8,3,6,10,2,4,5,9,1,7,ok,no_info,106
W,4,4,5,6,3,7,8,4,1,7,8,8,8,10,0,8,ok,no_info,107
N,2,4,4,3,2,6,9,2,4,10,7,7,5,8,1,8,ok,no_info,108
W,5,9,7,7,7,7,5,6,2,7,7,8,7,7,6,12,ok,no_info,109
M,8,9,11,7,8,10,6,2,5,9,4,7,8,7,2,8,ok,no_info,110
N,6,9,9,7,5,10,8,3,6,10,2,4,5,9,1,7,ok,no_info,111
M,13,15,13,8,7,3,8,6,6,4,2,13,9,11,2,8,ok,no_info,112
W,5,9,8,7,7,7,12,2,2,6,8,8,7,12,1,8,ok,no_info,113
M,6,10,7,6,4,13,2,4,3,12,1,9,5,5,1,9,ok,no_info,114
N,3,6,3,4,3,8,7,11,1,6,6,8,5,9,0,6,ok,no_info,115
W,4,3,5,5,3,8,8,4,1,6,8,8,8,9,0,8,ok,no_info,116
M,3,1,4,3,3,7,6,6,4,6,7,7,8,6,2,7,ok,no_info,117
M,4,11,6,8,6,6,6,6,5,7,7,10,8,5,2,9,ok,no_info,118
M,4,7,6,5,6,9,7,5,5,6,7,5,8,6,2,6,ok,no_info,119
W,8,11,8,6,5,9,8,4,5,6,9,6,11,8,3,6,ok,no_info,120
W,3,6,5,4,7,9,7,4,2,7,6,8,8,11,1,6,ok,no_info,121
N,3,8,3,6,2,7,7,13,2,5,6,8,5,8,0,8,ok,no_info,122
M,6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,ok,no_info,123
W,6,10,8,8,4,7,7,4,2,7,8,8,9,9,0,8,ok,no_info,124
N,1,0,2,1,1,7,7,11,1,5,6,8,4,8,0,8,ok,no_info,125
M,6,10,8,8,7,9,6,6,5,6,7,6,8,6,2,6,ok,no_info,126
W,5,11,8,8,6,4,11,2,3,8,9,9,9,11,2,7,ok,no_info,127
N,8,14,9,8,5,7,7,2,4,12,4,8,6,8,0,7,ok,no_info,128
M,6,10,9,8,8,8,7,2,4,9,7,8,8,6,2,8,ok,no_info,129
N,3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,ok,no_info,130
N,2,4,4,3,2,5,10,3,3,10,8,8,5,8,1,7,ok,no_info,131
M,5,11,6,8,4,7,7,12,2,7,9,8,9,6,0,8,ok,no_info,132
M,3,6,5,4,5,12,5,3,2,9,4,8,5,6,2,6,ok,no_info,133
M,6,10,7,8,4,7,7,13,2,8,9,8,9,6,0,8,ok,no_info,134
M,7,10,9,8,8,9,6,2,5,9,5,7,9,8,2,8,ok,no_info,135
N,7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,ok,no_info,136
N,3,2,4,4,3,7,9,5,5,7,6,6,5,9,2,6,ok,no_info,137
N,1,3,3,1,1,9,8,3,4,10,3,5,4,8,1,8,ok,no_info,138
M,5,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,ok,no_info,139
M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8,ok,no_info,140
M,3,7,4,5,3,7,6,11,1,8,9,8,7,6,0,8,ok,no_info,141
M,5,7,7,5,6,4,7,3,4,10,10,10,6,6,2,6,ok,no_info,142
W,6,9,6,7,7,4,9,2,3,9,8,8,7,11,2,7,ok,no_info,143
M,5,5,6,7,4,7,7,12,2,7,9,8,9,6,0,8,ok,no_info,144
M,5,9,8,7,7,12,6,2,4,9,2,6,8,6,2,8,ok,no_info,145
M,4,8,7,6,9,9,5,2,2,8,4,8,10,6,2,6,ok,no_info,146
M,5,9,8,7,10,7,6,4,2,7,4,8,13,6,3,7,ok,no_info,147
N,5,9,6,7,4,8,6,9,6,4,4,4,5,7,3,7,ok,no_info,148
N,6,7,8,5,4,10,7,3,6,10,1,4,6,10,2,8,ok,no_info,149
N,1,0,1,1,0,7,7,10,0,6,6,8,4,8,0,8,ok,no_info,150
M,6,10,7,8,4,8,7,13,2,6,9,8,9,6,0,8,ok,no_info,151
M,4,7,6,5,5,6,6,2,4,9,8,9,7,5,2,7,ok,no_info,152
M,3,1,4,2,1,8,7,11,1,7,9,8,7,6,0,8,ok,no_info,153
M,7,8,9,7,10,5,8,5,4,6,5,8,13,7,6,9,ok,no_info,154
W,6,10,9,7,7,4,11,2,2,8,9,9,7,12,1,8,ok,no_info,155
N,3,2,4,4,3,7,8,5,5,7,7,6,5,10,2,5,ok,no_info,156
W,5,7,7,5,3,4,8,5,1,7,9,8,8,10,0,8,ok,no_info,157
N,3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8,ok,no_info,158
W,7,10,7,8,8,5,10,3,3,9,7,7,8,11,3,6,ok,no_info,159
M,4,1,5,3,3,8,6,6,5,6,7,8,8,5,2,7,ok,no_info,160
M,3,3,5,2,3,9,6,3,4,9,5,7,6,5,1,8,ok,no_info,161
M,2,3,4,2,2,6,6,3,3,9,8,9,5,5,1,8,ok,no_info,162
M,5,8,7,6,8,7,7,7,5,7,5,8,7,9,8,6,ok,no_info,163
N,3,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8,ok,no_info,164
M,5,9,8,7,6,5,7,3,4,10,9,9,8,6,3,8,ok,no_info,165
M,6,9,8,6,8,7,7,6,5,6,7,9,8,6,2,8,ok,no_info,166
M,4,3,4,4,3,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,167
N,5,6,6,6,6,7,7,4,3,7,5,7,6,9,5,5,ok,no_info,168
M,6,8,9,6,9,10,6,3,3,9,4,7,9,8,3,6,ok,no_info,169
W,4,7,5,5,5,7,7,6,2,7,8,8,5,8,3,9,ok,no_info,170
N,3,7,4,5,3,7,7,12,1,6,6,8,5,8,0,8,ok,no_info,171
N,6,10,9,8,6,11,8,3,5,10,1,4,7,11,2,8,ok,no_info,172
M,1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8,ok,no_info,173
W,4,11,7,8,8,10,11,2,2,5,8,7,9,12,2,8,ok,no_info,174
M,6,8,9,7,10,6,8,5,3,6,5,8,13,9,5,8,ok,no_info,175
N,5,11,5,9,6,7,7,13,1,6,6,8,5,9,0,7,ok,no_info,176
M,6,7,9,6,9,5,9,5,3,6,4,8,13,6,5,8,ok,no_info,177
W,7,10,10,8,14,9,7,5,2,7,7,8,13,10,4,6,ok,no_info,178
M,4,3,4,5,3,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,179
N,3,3,4,4,2,7,7,14,2,5,6,8,6,8,0,8,ok,no_info,180
M,7,10,9,8,8,8,6,6,5,6,8,8,9,6,2,7,ok,no_info,181
N,5,5,6,7,3,7,7,15,2,4,6,8,6,8,0,8,ok,no_info,182
M,5,5,6,4,4,8,6,6,5,6,7,7,10,6,4,6,ok,no_info,183
W,2,0,2,1,1,7,8,3,0,7,8,8,6,9,0,8,ok,no_info,184
N,5,10,5,7,3,7,7,15,2,4,6,8,6,8,0,8,ok,no_info,185
W,4,8,7,6,5,7,10,2,3,7,9,8,8,11,1,8,ok,no_info,186
W,5,6,5,4,4,4,10,2,3,9,9,7,7,11,2,6,ok,no_info,187
W,6,5,7,4,3,3,10,3,3,10,10,8,7,10,1,7,ok,no_info,188
N,4,9,6,6,4,8,9,9,6,8,5,5,3,7,3,7,ok,no_info,189
M,6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,ok,no_info,190
M,8,9,11,7,9,6,8,3,4,9,9,9,9,8,3,8,ok,no_info,191
M,4,7,4,5,3,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,192
N,6,12,7,6,3,7,7,2,3,12,5,8,5,8,0,7,ok,no_info,193
N,5,9,7,6,4,7,9,6,5,7,6,7,7,9,3,7,ok,no_info,194
N,2,3,3,2,2,7,9,6,4,8,6,7,4,8,1,7,ok,no_info,195
N,1,1,2,2,1,7,7,11,1,5,6,8,4,8,0,8,ok,no_info,196
M,6,10,8,8,10,7,6,7,4,6,5,8,8,8,8,9,ok,no_info,197
W,3,2,4,3,3,8,11,2,2,6,8,8,6,11,0,8,ok,no_info,198
M,2,3,4,2,2,8,6,3,4,9,6,8,6,5,1,7,ok,no_info,199
N,4,9,4,6,4,8,7,12,1,6,6,8,5,9,0,8,ok,no_info,200
N,3,5,5,3,2,6,9,2,4,10,7,7,5,8,1,8,ok,no_info,201
W,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,ok,no_info,202
M,4,6,6,4,4,10,6,7,5,6,7,4,8,5,2,5,ok,no_info,203
N,4,8,6,6,4,5,9,2,3,9,8,8,5,8,1,7,ok,no_info,204
M,5,9,6,7,4,8,7,13,2,6,9,8,8,6,0,8,ok,no_info,205
N,4,7,6,5,4,8,8,5,6,7,6,4,7,9,4,6,ok,no_info,206
N,3,3,5,2,2,7,9,3,4,10,6,6,5,9,1,7,ok,no_info,207
N,4,8,6,6,5,8,8,5,5,6,6,5,6,10,2,5,ok,no_info,208
W,2,4,4,2,2,8,10,2,2,6,9,8,6,11,0,8,ok,no_info,209
N,3,7,4,5,3,8,8,6,4,7,6,6,5,9,1,6,ok,no_info,210
N,4,5,5,4,3,7,8,6,5,7,6,6,6,9,2,5,ok,no_info,211
N,4,5,7,4,3,6,10,3,5,10,8,7,5,8,1,7,ok,no_info,212
W,4,10,6,7,4,11,8,5,2,7,9,8,8,10,0,8,ok,no_info,213
N,2,1,2,2,1,7,7,12,1,5,6,8,5,8,0,8,ok,no_info,214
M,3,2,4,3,3,8,6,5,3,7,7,9,9,5,1,8,ok,no_info,215
N,4,7,4,5,3,8,8,12,1,6,6,7,5,8,0,9,ok,no_info,216
W,4,9,6,6,3,4,8,5,1,7,9,8,8,10,0,8,ok,no_info,217
W,4,4,6,6,3,8,8,4,1,7,8,8,8,9,0,8,ok,no_info,218
W,3,4,5,6,3,6,8,4,1,7,8,8,8,10,0,8,ok,no_info,219
N,3,4,5,3,2,6,9,3,4,11,8,8,5,7,1,8,ok,no_info,220
W,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,ok,no_info,221
M,3,4,5,2,3,8,6,6,4,7,7,9,9,5,2,8,ok,no_info,222
M,3,6,4,4,4,7,6,6,4,6,7,8,7,5,2,7,ok,no_info,223
W,8,13,8,7,5,4,8,1,3,8,9,8,9,11,2,5,ok,no_info,224
M,3,4,4,2,3,7,6,6,4,6,7,8,6,6,2,8,ok,no_info,225
M,5,5,6,8,4,7,7,12,2,7,9,8,9,6,0,8,ok,no_info,226
N,6,10,9,8,5,8,8,3,5,10,5,6,6,8,2,7,ok,no_info,227
N,3,2,3,3,2,7,8,5,4,7,6,7,4,8,1,7,ok,no_info,228
W,3,5,5,4,4,9,11,3,2,5,9,7,7,11,1,8,ok,no_info,229
N,3,7,5,5,3,6,9,6,5,8,7,8,5,8,1,7,ok,no_info,230
W,6,10,6,8,7,4,10,3,2,9,7,8,8,12,3,5,ok,no_info,231
M,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,ok,no_info,232
N,1,3,3,2,1,5,9,3,3,10,8,8,4,8,0,7,ok,no_info,233
W,5,8,8,6,3,7,7,5,2,7,8,8,9,9,0,8,ok,no_info,234
W,6,11,9,8,7,5,9,5,1,7,9,8,8,11,0,7,ok,no_info,235
W,3,7,6,5,4,5,10,2,3,8,9,9,7,11,1,8,ok,no_info,236
N,5,9,8,7,5,10,7,3,5,10,2,5,6,9,1,7,ok,no_info,237
W,8,10,8,5,4,1,9,3,3,11,12,9,8,10,1,6,ok,no_info,238
M,10,15,12,9,6,10,2,3,2,10,3,9,8,1,1,8,ok,no_info,239
M,4,2,6,3,4,8,6,6,5,6,7,8,8,7,3,6,ok,no_info,240
N,3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,ok,no_info,241
W,5,6,7,5,8,6,7,6,5,6,5,8,8,10,8,10,ok,no_info,242
N,4,7,6,5,3,11,6,4,5,10,1,5,5,9,1,7,ok,no_info,243
W,12,14,12,8,5,2,9,3,2,10,12,8,9,10,1,6,ok,no_info,244
W,6,9,9,7,7,4,10,2,3,8,9,9,10,9,1,8,ok,no_info,245
M,7,10,10,8,9,11,6,2,5,9,4,6,10,7,2,8,ok,no_info,246
N,1,0,1,0,0,7,7,9,0,6,6,8,3,8,0,8,ok,no_info,247
N,4,8,6,6,3,5,9,3,4,10,9,9,5,8,1,7,ok,no_info,248
M,2,3,3,1,2,6,6,6,4,7,7,10,6,5,1,9,ok,no_info,249
N,5,7,7,5,3,5,9,3,5,10,9,9,6,7,1,7,ok,no_info,250
W,5,10,8,8,13,9,7,5,2,7,7,8,10,10,3,5,ok,no_info,251
M,5,5,6,8,4,8,7,12,2,6,9,8,9,6,0,8,ok,no_info,252
M,4,7,8,5,8,10,6,3,3,9,4,7,10,5,3,6,ok,no_info,253
N,8,11,11,8,6,12,7,3,6,10,0,3,7,11,2,8,ok,no_info,254
M,5,2,6,4,4,9,6,7,4,6,7,5,10,5,3,5,ok,no_info,255
W,4,7,6,5,3,9,8,5,1,7,8,8,8,9,0,8,ok,no_info,256
N,6,5,6,8,3,7,7,15,2,4,6,8,6,8,0,8,ok,no_info,257
M,5,10,6,8,4,8,7,12,2,6,9,8,8,6,0,8,ok,no_info,258
W,3,7,5,5,7,9,5,5,2,7,6,8,5,10,2,5,ok,no_info,259
N,3,8,4,6,2,7,7,14,2,5,6,8,6,8,0,8,ok,no_info,260
N,7,12,6,6,3,5,9,4,5,4,4,11,5,9,2,7,ok,no_info,261
M,4,2,5,4,4,8,6,6,4,7,7,8,7,5,2,7,ok,no_info,262
W,3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,8,ok,no_info,263
N,4,10,4,7,3,7,7,14,2,4,6,8,6,8,0,8,ok,no_info,264
M,4,2,5,4,4,8,6,6,4,7,7,8,7,5,2,8,ok,no_info,265
W,4,9,5,6,6,7,6,6,2,7,7,8,6,8,4,8,ok,no_info,266
M,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,267
N,3,5,4,3,3,7,9,5,5,7,6,6,5,9,2,6,ok,no_info,268
N,4,11,5,8,5,7,7,13,1,6,6,8,6,9,1,6,ok,no_info,269
N,1,0,1,0,0,7,7,10,0,5,6,8,4,8,0,8,ok,no_info,270
N,5,9,5,5,2,5,8,4,6,4,4,9,4,7,2,8,ok,no_info,271
N,5,11,7,8,6,7,7,8,5,7,5,6,3,7,3,8,ok,no_info,272
N,4,7,5,5,4,6,7,8,5,7,5,7,3,7,3,8,ok,no_info,273
N,3,7,5,5,3,7,9,6,5,7,6,7,5,9,2,6,ok,no_info,274
W,6,10,6,8,6,2,11,2,2,10,9,7,6,11,2,6,ok,no_info,275
M,8,10,11,7,7,5,6,4,5,11,10,11,11,5,4,7,ok,no_info,276
M,10,13,12,7,6,10,2,3,2,10,2,9,8,1,2,8,ok,no_info,277
M,7,6,9,5,9,7,8,5,4,6,5,8,13,7,5,8,ok,no_info,278
N,8,10,10,9,11,7,7,5,4,7,6,7,8,9,6,5,ok,no_info,279
W,5,6,5,4,4,3,10,2,3,10,9,8,6,11,2,6,ok,no_info,280
N,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8,ok,no_info,281
W,5,9,7,7,3,8,8,4,2,7,8,8,8,9,0,8,ok,no_info,282
M,8,9,12,8,12,7,7,4,4,6,5,8,14,9,6,9,ok,no_info,283
N,6,9,9,7,5,7,9,2,5,10,6,6,6,9,1,8,ok,no_info,284
W,4,2,6,4,4,9,11,2,2,5,9,7,9,11,2,7,ok,no_info,285
W,3,7,5,5,3,11,8,5,1,6,9,8,7,10,0,8,ok,no_info,286
W,6,9,8,6,7,7,7,6,3,8,8,7,7,9,5,10,ok,no_info,287
M,1,0,2,0,1,7,6,9,0,7,8,8,6,6,0,8,ok,no_info,288
N,6,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8,ok,no_info,289
W,1,0,1,0,0,7,8,3,0,7,8,8,3,9,0,8,ok,no_info,290
M,5,7,6,5,7,8,8,6,5,7,6,8,7,9,7,6,ok,no_info,291
N,10,13,9,7,4,4,9,4,7,3,3,11,5,8,2,7,ok,no_info,292
W,8,10,9,8,6,1,10,3,3,11,11,9,7,10,1,7,ok,no_info,293
N,10,13,12,8,5,4,9,3,4,13,10,9,6,8,0,7,ok,no_info,294
M,3,2,5,3,3,9,6,6,4,6,7,6,7,5,2,6,ok,no_info,295
W,4,8,6,6,3,6,8,4,1,7,8,8,8,9,0,8,ok,no_info,296
W,4,8,7,6,9,9,8,5,2,7,7,7,12,10,4,6,ok,no_info,297
M,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,ok,no_info,298
M,6,11,8,8,8,8,6,5,5,6,7,8,8,6,2,7,ok,no_info,299
M,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,ok,no_info,300
W,10,15,10,8,5,4,9,2,2,8,10,8,9,12,1,6,ok,no_info,301
N,6,9,9,7,5,9,8,2,5,10,2,4,7,10,2,7,ok,no_info,302
M,5,6,7,4,6,7,6,5,5,8,6,11,10,5,2,9,ok,no_info,303
W,4,8,6,6,6,5,11,2,2,7,8,8,7,11,1,8,ok,no_info,304
W,4,4,6,3,3,8,11,3,2,6,9,8,8,12,1,7,ok,no_info,305
N,5,9,5,7,3,7,7,15,2,4,6,8,6,8,0,8,ok,no_info,306
W,5,5,7,8,4,9,8,4,2,7,8,8,9,9,0,8,ok,no_info,307
W,4,8,7,6,4,7,10,2,3,7,9,8,8,11,1,8,ok,no_info,308
M,3,6,4,4,4,9,6,6,4,6,7,5,7,5,2,6,ok,no_info,309
M,11,15,11,8,6,9,11,6,4,4,6,9,10,12,2,7,ok,no_info,310
M,3,4,5,3,3,8,6,6,4,7,7,8,7,5,2,7,ok,no_info,311
N,5,10,7,8,4,3,9,4,4,10,11,10,5,7,1,8,ok,no_info,312
W,4,7,6,5,3,4,8,5,1,7,9,8,8,10,0,8,ok,no_info,313
N,7,10,10,7,4,6,8,3,5,10,8,8,6,7,1,7,ok,no_info,314
M,2,3,4,1,2,5,7,4,3,10,10,10,4,7,1,6,ok,no_info,315
N,6,9,9,8,8,7,9,4,4,7,4,7,9,7,6,6,ok,no_info,316
M,4,8,5,6,5,7,5,10,0,7,8,8,8,5,2,10,ok,no_info,317
